gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,university_name,status,ranking
320,165,155,108.0,3.15,2,0,northeastern_university,accept,15
310,163,147,100.0,2.45,17,3,northeastern_university,accept,15
314,162,152,105.0,3.56,0,1,northeastern_university,accept,15
325,168,157,110.0,3.08,19,0,northeastern_university,accept,15
316,164,152,101.0,3.66,0,0,northeastern_university,accept,15
315,162,153,109.0,2.7,6,3,northeastern_university,accept,15
322,168,154,111.0,2.92,6,0,northeastern_university,accept,15
310,159,151,101.0,2.4,32,0,northeastern_university,accept,15
313,150,163,103.0,3.35,38,0,northeastern_university,accept,15
309,154,155,104.0,3.28,0,0,northeastern_university,accept,15
315,161,154,110.0,3.26,48,0,northeastern_university,accept,15
309,160,149,101.0,3.05,2,2,northeastern_university,accept,15
317,170,147,105.0,2.8,3,0,northeastern_university,accept,15
307,159,148,111.0,2.74,40,0,northeastern_university,accept,15
313,163,150,110.0,3.73,36,3,northeastern_university,accept,15
314,155,159,105.0,3.39,36,0,northeastern_university,accept,15
317,165,152,108.0,3.07,0,1,northeastern_university,accept,15
317,165,152,107.0,3.1,0,0,northeastern_university,accept,15
315,152,163,105.0,2.1,25,3,northeastern_university,accept,15
315,170,145,108.0,2.9,2,0,northeastern_university,accept,15
315,162,153,100.0,3.3,60,0,northeastern_university,accept,15
326,165,161,112.0,2.55,23,0,northeastern_university,accept,15
317,162,155,110.0,3.17,5,3,northeastern_university,accept,15
315,160,155,104.0,2.35,12,3,northeastern_university,accept,15
319,168,151,106.0,3.49,7,3,northeastern_university,accept,15
315,164,151,110.0,3.3,22,0,northeastern_university,accept,15
309,157,152,103.0,2.8,67,0,northeastern_university,accept,15
320,150,170,107.0,3.28,17,3,northeastern_university,accept,15
324,168,156,110.0,3.36,2,0,northeastern_university,accept,15
319,160,159,107.0,3.48,13,0,northeastern_university,accept,15
310,160,150,99.0,2.55,48,0,northeastern_university,accept,15
303,154,149,109.0,3.0,0,3,northeastern_university,accept,15
309,158,151,102.0,3.22,17,0,northeastern_university,accept,15
321,167,154,112.0,3.24,12,0,northeastern_university,accept,15
318,163,155,101.0,2.88,4,3,northeastern_university,accept,15
310,161,149,103.0,2.38,24,0,northeastern_university,accept,15
307,159,148,99.0,2.73,15,0,northeastern_university,accept,15
309,163,146,104.0,2.64,32,0,northeastern_university,accept,15
320,167,153,103.0,3.38,40,0,northeastern_university,accept,15
329,167,162,117.0,3.47,2,0,northeastern_university,accept,15
317,164,153,107.0,2.81,20,0,northeastern_university,accept,15
317,165,152,111.0,3.79,24,0,northeastern_university,accept,15
312,162,150,109.0,2.65,36,0,northeastern_university,accept,15
318,167,151,111.0,2.48,35,0,northeastern_university,accept,15
321,166,155,117.0,3.48,0,0,northeastern_university,accept,15
307,155,152,75.0,2.98,27,0,northeastern_university,accept,15
311,160,151,109.0,3.07,0,0,northeastern_university,accept,15
324,168,156,107.0,3.27,7,0,northeastern_university,accept,15
